,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
2241,s856,Movie,Disneynature Bears,"Alastair Fothergill, Keith Scholey",John Reilly,United States,"November 12, 2019",2014,G,78 min,Animals & Nature,A mother bear teaches her two impressionable cubs important life lessons.
2242,s856,Movie,Disneynature Bears,"Alastair Fothergill, Keith Scholey",John Reilly,United States,"November 12, 2019",2014,G,78 min,Documentary,A mother bear teaches her two impressionable cubs important life lessons.
2243,s856,Movie,Disneynature Bears,"Alastair Fothergill, Keith Scholey",John Reilly,United States,"November 12, 2019",2014,G,78 min,Family,A mother bear teaches her two impressionable cubs important life lessons.
2244,s857,Movie,Disneynature Born in China,Lu Chuan,John Krasinski,"United Kingdom, China, United States","November 12, 2019",2017,G,81 min,Animals & Nature,Embrace the beauty of China's vast terrain – and the life that inhabits it.
2245,s857,Movie,Disneynature Born in China,Lu Chuan,John Krasinski,"United Kingdom, China, United States","November 12, 2019",2017,G,81 min,Documentary,Embrace the beauty of China's vast terrain – and the life that inhabits it.
2246,s857,Movie,Disneynature Born in China,Lu Chuan,John Krasinski,"United Kingdom, China, United States","November 12, 2019",2017,G,81 min,Family,Embrace the beauty of China's vast terrain – and the life that inhabits it.
2247,s858,Movie,Disneynature Chimpanzee,"Alastair Fothergill, Mark Linfield",Tim Allen,"Tanzania, United States","November 12, 2019",2012,G,79 min,Animals & Nature,Meet a remarkable young chimpanzee who sees his world as his playground.
2248,s858,Movie,Disneynature Chimpanzee,"Alastair Fothergill, Mark Linfield",Tim Allen,"Tanzania, United States","November 12, 2019",2012,G,79 min,Documentary,Meet a remarkable young chimpanzee who sees his world as his playground.
2249,s858,Movie,Disneynature Chimpanzee,"Alastair Fothergill, Mark Linfield",Tim Allen,"Tanzania, United States","November 12, 2019",2012,G,79 min,Family,Meet a remarkable young chimpanzee who sees his world as his playground.
2250,s859,Movie,Disneynature Crimson Wing,"Matthew Aeberhard, Leander Ward",Mariella Frostrup,"United States, United Kingdom","November 12, 2019",2008,G,78 min,Animals & Nature,A million flamingos struggle to survive in the remote Tanzanian wilderness.
